SIGLA,DESCRICAO
PR, PRESIDENCIA
ARA, ASSESSORIA PARA ASSUNTOS INSTITUCIONAIS
ARC, ASSESSORIA DE CONCESSOES E PARCERIAS
ARE, ASSESSORIA DE GESTAO ESTRATEGICA EMPRESARIAL
DROV, OUVIDORIA
DRAU, DEPARTAMENTO DE AUDITORIA
GRE, GERENCIA GERAL DE GOVERNANÇA E QUALIDADE EMPRESARIAL
GRJ, GERENCIA JURIDICA
DRJP, DEPTO JURIDICO CONSULTIVO E PREVENTIVO
DRJC, DEPTO JURIDICO CONTENCIOSO
DRJT, DEPTO JURIDICO CONTENCIOSO TRABALHISTA
DRJL, DEPARTAMENTO JURIDICO LICITACOES E CONTROLE EXTERNO
DRJI, DEPTO JURIDICO CRIMINAL E DE PROCEDIMENTOS INQUISITIVOS
GRA, GERENCIA DE AUDITORIA
GRM, GERENCIA DE MARKETING E COMUNICACAO
DRMK, DEPARTAMENTO DE MARKETING
DRMP, DEPARTAMENTO DE RELACIONAMENTO COM O PASSAGEIRO
DRMI, DEPARTAMENTO DE IMPRENSA
GRC, GERENCIA DE CUSTOS REFERENCIAIS
DRCC, DEPARTAMENTO DE CUSTOS DE OBRAS CIVIS E FORMACAO DE PRECOS
DRCS, DEPARTAMENTO DE CUSTOS DE SISTEMAS E SERVICOS
GRI, GERENCIA DE CONFORMIDADE  CONTROLES INTERNOS E GESTAO DE RISCOS
DRIC, DEPARTAMENTO DE CONFORMIDADE E CONTROLE INTERNO
DRIR, DEPARTAMENTO DE GESTAO DE RISCOS
GRH, GERENCIA DE DESENV ORGAN E REC HUMANOS
DRHP, DEPTO DE ADMINISTRACAO DE PESSOAL
DRHD, DEPTO DE PROVIMENTO E DESENVOLVIMENTO DE PESSOAL
DRHO, DEPTO DE SAUDE OCUPACIONAL INTEGRAL
DRHR, DEPTO DE SEGURANCA DO TRABALHO E RELACOES SINDICAIS
DF, DIRETORIA ADMINISTRATIVA E FINANCEIRA
GFF, GERENCIA DE FINANCAS E CONTROLE ORCAMENTARIO
DFFO, DEPTO DE CONTROLE E ORCAMENTO
DFFA, DEPTO DE FINANCAS
DFFF, DEPTO FISCAL
DFFC, DEPTO DE CONTROLE DE CONTRATOS
GFC, GERENCIA DE CONTRATACOES E COMPRAS
DFCC, DEPTO DE CONTRATACOES E COMPRAS
DFCE, DEPTO DE CONTRATAÇÕES E COMPRAS POR MEIO ELETRÔNICO
GFM, GERENCIA DE ADMIN DE MATERIAIS E LOGISTICA
DFMA, DEPTO DE ADMINISTRACAO DE  MATERIAIS
GFA, GERENCIA ADMINISTRATIVA
DFAL, DEPTO DE LOGISTICA ADMINISTRATIVA
DFAS, DEPTO DE SERV ADMINISTRATIVOS
GFI, GERENCIA DE TECNOL DA INFORMACAO
DFIS, DEPARTAMENTO DE DESENVOLVIMENTO E APLICACAO DE SISTEMAS
DFIO, DEPARTAMENTO DE OPERACAO DE TI
DFIM, DEPARTAMENTO DE SUPORTE DE MANUTENCAO
GFS, GERENCIA DE CONTROLE FISCAL E CONTÁBIL
DFSF, DEPARTAMENTO FISCAL
DFSC, DEPTO DE CONTABILIDADE E CUSTOS
GFH, GERENCIA DE DESENVOLVIMENTO ORGANIZACIONAL E RECURSOS HUMANOS
DFHP, DEPARTAMENTO DE ADMINISTRACAO DE PESSOAL
DFHD, DEPARTAMENTO DE PROVIMENTO E DESENVOLVIMENTO DE PESSOAL
DFHO, DEPARTAMENTO DE SAUDE OCUPACIONAL INTEGRAL
DFHR, DEPARTAMENTO DE SEGURANCA DO TRABALHO E RELACOES SINDICAIS
DFHS, DEPARTAMENTO DE SAUDE OCUPACIONAL E SEGURANCA DO TRABALHO
DP, DIRETORIA DE PLANEJAMENTO E NOVOS NEGOCIOS
DPEP, DEPARTAMENTO DE PLANEJAMENTO DA MOBILIDADE E PESQUISA
GPT, GERENCIA DE PLANEJAMENTO DE TRANSPORTES
DPTT, DEPTO DE PLANEJAMENTO DE TRANSPORTE
DPPI, DEPTO DE PROJETOS DE INFRAESTRUTURA
DPPE, DEPTO DE PROJETOS E EDIFICACOES
GPA, GERENCIA DO TERRITORIO E MEIO AMBIENTE
GPN, GERENCIA DE NOVOS NEGOCIOS
GPS, GERENCIA DE PROJETOS E ESPECIFICACOES DE SISTEMAS
DPST, DEPARTAMENTO DE PROJETOS DE SINAL TELEC E EQUIPAMENTOS
GPR, GERENCIA DE GESTAO DO TERRITORIO - REGULARIZACAO FUNDIARIA
DPRG, DEPARTAMENTO DE GESTAO DO TERRITORIO
GPE, GERENCIA DE ESTRATEGIA EMPRESARIAL
DPEM, DEPARTAMENTO DE MONITORAMENTO ESTRATEGICO
DPEP, DEPARTAMENTO DE PESQUISA E MOBILIDADE
DE, DIRETORIA DE ENGENHARIA OBRAS E MEIO AMBIENTE
AEC, ASSESSORIA DE COORDENACAO
GEP, GERENCIA DE PROJETOS
DEPI, DEPARTAMENTO DE PROJETOS DE INFRAESTRUTURA
DEPE, DEPARTAMENTO DE PROJETOS DE EDIFICACOES
DEPS, DEPARTAMENTO DE PROJETOS DE INSTALACOES E SISTEMAS
DEPG, DEPARTAMENTO DE CONSISTENCIA E INOVACAO DE PROJETOS
GEO, GERENCIA DE OBRAS CIVIS - MODERNIZACAO
DEOV, DEPARTAMENTO DE MONTAGEM DE VIA PERMANENTE E REDE AEREA
DEOC, DEPARTAMENTO DE OBRAS CIVIS
