id,SIGLA,DESCRICAO
1,DORO,DEPTO DE OFICINAS DE MANUTENÇÃO
2,PR,PRESIDENCIA
3,ARA,ASSESSORIA PARA ASSUNTOS INSTITUCIONAIS
4,ARC,ASSESSORIA DE CONCESSOES E PARCERIAS
5,ARE,ASSESSORIA DE GESTAO ESTRATEGICA EMPRESARIAL
6,DROV,OUVIDORIA
7,DRAU,DEPARTAMENTO DE AUDITORIA
8,GRE,GERENCIA GERAL DE GOVERNANÇA E QUALIDADE EMPRESARIAL
9,GRJ,GERENCIA JURIDICA
10,DRJP,DEPTO JURIDICO CONSULTIVO E PREVENTIVO
11,DRJC,DEPTO JURIDICO CONTENCIOSO
12,DRJT,DEPTO JURIDICO CONTENCIOSO TRABALHISTA
13,DRJL,DEPARTAMENTO JURIDICO LICITACOES E CONTROLE EXTERNO
14,DRJI,DEPTO JURIDICO CRIMINAL E DE PROCEDIMENTOS INQUISITIVOS
15,GRA,GERENCIA DE AUDITORIA
16,GRM,GERENCIA DE MARKETING E COMUNICACAO
17,DRMK,DEPARTAMENTO DE MARKETING
18,DRMP,DEPARTAMENTO DE RELACIONAMENTO COM O PASSAGEIRO
19,DRMI,DEPARTAMENTO DE IMPRENSA
20,GRC,GERENCIA DE CUSTOS REFERENCIAIS
21,DRCC,DEPARTAMENTO DE CUSTOS DE OBRAS CIVIS E FORMACAO DE PRECOS
22,DRCS,DEPARTAMENTO DE CUSTOS DE SISTEMAS E SERVICOS
23,GRI,GERENCIA DE CONFORMIDADE CONTROLES INTERNOS E GESTAO DE RISCOS
24,DRIC,DEPARTAMENTO DE CONFORMIDADE E CONTROLE INTERNO
25,DRIR,DEPARTAMENTO DE GESTAO DE RISCOS
26,GRH,GERENCIA DE DESENV ORGAN E REC HUMANOS
27,DRHP,DEPTO DE ADMINISTRACAO DE PESSOAL
28,DRHD,DEPTO DE PROVIMENTO E DESENVOLVIMENTO DE PESSOAL
29,DRHO,DEPTO DE SAUDE OCUPACIONAL INTEGRAL
30,DRHR,DEPTO DE SEGURANCA DO TRABALHO E RELACOES SINDICAIS
31,DF,DIRETORIA ADMINISTRATIVA E FINANCEIRA
32,GFF,GERENCIA DE FINANCAS E CONTROLE ORCAMENTARIO
33,DFFO,DEPTO DE CONTROLE E ORCAMENTO
34,DFFA,DEPTO DE FINANCAS
35,DFFF,DEPTO FISCAL
36,DFFC,DEPTO DE CONTROLE DE CONTRATOS
37,GFC,GERENCIA DE CONTRATACOES E COMPRAS
38,DFCC,DEPTO DE CONTRATACOES E COMPRAS
39,DFCE,DEPTO DE CONTRATAÇÕES E COMPRAS POR MEIO ELETRÔNICO
