id,codigoCPTM,DESCRICAO,Fabricante,Modelo,status,AREA_FK
1,115378,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,109
2,115379,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,109
3,115380,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,109
4,115381,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,109
5,115382,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,109
6,115383,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,109
7,115384,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,109
8,115385,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,109
9,115386,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,109
10,115387,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,109
11,115388,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,109
12,115389,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,109
13,115390,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,109
14,115391,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,109
15,115392,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,109
16,115393,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,109
17,115394,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,109
18,115395,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,109
19,115396,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,109
20,115397,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,109
21,115398,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,109
22,115399,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,109
23,115400,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,109
24,115401,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,109
25,115402,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,109
26,115403,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,109
27,115404,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,109
28,115405,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,109
29,115406,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,109
30,115407,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,109
31,115408,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,109
32,115409,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,109
33,115410,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,109
34,115411,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,109
35,115412,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,109
36,115413,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,109
37,115414,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,109
38,115415,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,109
39,115416,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,109
40,115417,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,109
41,115418,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,109
42,115419,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,110
43,115420,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,110
44,115421,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,110
45,115422,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,110
46,115423,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,110
47,115424,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,110
48,115425,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,110
49,115426,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,110
50,115427,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,110
51,115428,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,110
52,115429,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,110
53,115430,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,110
54,115431,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,110
55,115432,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,110
56,115433,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,110
57,115434,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,110
58,115435,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,110
59,115436,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,110
60,115437,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,110
61,115438,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,110
62,115439,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,110
63,115440,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,110
64,115441,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,111
65,115442,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,111
66,115443,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,111
67,115444,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,111
68,115445,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,111
69,115446,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,111
70,115447,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,111
71,115448,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,111
72,115449,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,111
73,115450,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,111
74,115451,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,111
75,115452,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,111
76,115454,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,111
77,115455,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,111
78,115456,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,111
79,115457,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,111
80,115458,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,111
81,115459,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,111
82,115460,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,111
83,115461,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,111
84,115462,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,111
85,115463,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,111
86,115464,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,111
87,115465,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,111
88,115466,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,111
89,115467,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,111
90,115468,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,111
91,115469,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,111
92,115470,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,111
93,115471,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,111
94,115472,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,111
95,115473,MULTÍMETRO DIGITAL PORTATIL C/ BOLSA, YOKOGAWA, TY720 ,DISPONIVEL,111
